"Country or Area","Year","Item","Value"
"Afghanistan","2019","Gross Domestic Product (GDP)","469.919090127469"
"Albania","2019","Gross Domestic Product (GDP)","5303.19782273234"
"Algeria","2019","Gross Domestic Product (GDP)","3975.51038119501"
"Andorra","2019","Gross Domestic Product (GDP)","40887.4216465747"
"Angola","2019","Gross Domestic Product (GDP)","2670.85073226766"
"Anguilla","2019","Gross Domestic Product (GDP)","25528.573567178"
"Antigua and Barbuda","2019","Gross Domestic Product (GDP)","17112.8211347326"
"Argentina","2019","Gross Domestic Product (GDP)","10041.4633030642"
"Armenia","2019","Gross Domestic Product (GDP)","4622.73321649605"
"Aruba","2019","Gross Domestic Product (GDP)","30974.7146194844"
"Australia","2019","Gross Domestic Product (GDP)","54763.2023879958"
"Austria","2019","Gross Domestic Product (GDP)","49700.761832546"
"Azerbaijan","2019","Gross Domestic Product (GDP)","4781.94621493393"
"Bahamas","2019","Gross Domestic Product (GDP)","34863.7420984795"
"Bahrain","2019","Gross Domestic Product (GDP)","23503.977126673"
"Bangladesh","2019","Gross Domestic Product (GDP)","1846.41637656056"
"Barbados","2019","Gross Domestic Product (GDP)","18148.9585105827"
"Belarus","2019","Gross Domestic Product (GDP)","6673.53129099781"
"Belgium","2019","Gross Domestic Product (GDP)","46198.3103205411"
"Belize","2019","Gross Domestic Product (GDP)","4815.17185214409"
"Benin","2019","Gross Domestic Product (GDP)","1220.49282500616"
"Bermuda","2019","Gross Domestic Product (GDP)","117767.894282149"
"Bhutan","2019","Gross Domestic Product (GDP)","3360.6171938127"
"Bolivia (Plurinational State of)","2019","Gross Domestic Product (GDP)","3552.06876026869"
"Bosnia and Herzegovina","2019","Gross Domestic Product (GDP)","6108.55803229307"
"Botswana","2019","Gross Domestic Product (GDP)","7961.36530384848"
"Brazil","2019","Gross Domestic Product (GDP)","8755.2712081208"
"British Virgin Islands","2019","Gross Domestic Product (GDP)","43188.6195471195"
"Brunei Darussalam","2019","Gross Domestic Product (GDP)","31086.329196003"
"Bulgaria","2019","Gross Domestic Product (GDP)","9703.48781427334"
"Burkina Faso","2019","Gross Domestic Product (GDP)","786.895613589555"
"Burundi","2019","Gross Domestic Product (GDP)","260.381563410932"
"Cabo Verde","2019","Gross Domestic Product (GDP)","3603.78257648474"
"Cambodia","2019","Gross Domestic Product (GDP)","1643.64145131163"
"Cameroon","2019","Gross Domestic Product (GDP)","1501.80829115329"
"Canada","2019","Gross Domestic Product (GDP)","46550.3355073651"
"Cayman Islands","2019","Gross Domestic Product (GDP)","92692.3705231312"
"Central African Republic","2019","Gross Domestic Product (GDP)","467.907246407659"
"Chad","2019","Gross Domestic Product (GDP)","706.825832843972"
"Chile","2019","Gross Domestic Product (GDP)","14896.4538665783"
"China, Hong Kong SAR","2019","Gross Domestic Product (GDP)","49180.0943019454"
"China, Macao Special Administrative Region","2019","Gross Domestic Product (GDP)","84096.7054455759"
"China, People's Republic of","2019","Gross Domestic Product (GDP)","10003.5550025643"
"Colombia","2019","Gross Domestic Product (GDP)","6432.38758339545"
"Comoros","2019","Gross Domestic Product (GDP)","1370.14916822284"
"Congo","2019","Gross Domestic Product (GDP)","2304.12650773654"
"Cook Islands","2019","Gross Domestic Product (GDP)","21603.4643468052"
"Costa Rica","2019","Gross Domestic Product (GDP)","12238.3750542873"
"Côte d'Ivoire","2019","Gross Domestic Product (GDP)","2276.34032918416"
"Croatia","2019","Gross Domestic Product (GDP)","14627.2947135123"
"Cuba","2019","Gross Domestic Product (GDP)","9295.90163588722"
"Curaçao","2019","Gross Domestic Product (GDP)","18980.0011595433"
"Cyprus","2019","Gross Domestic Product (GDP)","28284.9076314006"
"Czechia","2019","Gross Domestic Product (GDP)","23451.7357205428"
"Democratic People's Republic of Korea","2019","Gross Domestic Product (GDP)","639.556389910187"
"Democratic Republic of the Congo","2019","Gross Domestic Product (GDP)","545.216205310375"
"Denmark","2019","Gross Domestic Product (GDP)","60656.9385168141"
"Djibouti","2019","Gross Domestic Product (GDP)","3252.32040854545"
"Dominica","2019","Gross Domestic Product (GDP)","8110.51693404635"
"Dominican Republic","2019","Gross Domestic Product (GDP)","8282.12308689232"
"Ecuador","2019","Gross Domestic Product (GDP)","6183.82382482173"
"Egypt","2019","Gross Domestic Product (GDP)","3161.32468433375"
"El Salvador","2019","Gross Domestic Product (GDP)","4187.2500311069"
"Equatorial Guinea","2019","Gross Domestic Product (GDP)","8130.40717762412"
